ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
36006396401,windpdt,,,Kingsbury Drive,en,,,Kingsbury Drive,en,Burfield Road,en,,,opp,en,N,E0055224,Old Windsor,,,,,,,0,U,498380,173945,-0.585445628,51.45594851,BCT,MKD,OTH,,,,65,2004-05-07T00:00:00,2007-03-07T00:00:00,1,rev,act
36006389389,windpam,,,Bells of Ouzeley,en,,,Ouseley Road,en,Straight Road,en,,,o/s,en,NW,E0055224,Old Windsor,,,,,,,0,U,499188,173535,-0.57393509,51.4521223,BCT,MKD,TIP,,,,65,2004-05-07T00:00:00,2007-03-07T00:00:00,1,rev,act
36006288288,windjpt,,,Stroud Farm Corner,en,,,Stroud Farm Road,en,Holyport Road,en,,,S-bound,en,SW,E0043277,Holyport,,,,,,,0,U,489666,177980,-0.709804251,51.49366551,BCT,MKD,OTH,,,,65,2004-04-21T00:00:00,2015-01-22T14:07:30,3,rev,act
36006288289,windjpw,,,Stroud Farm Corner,en,,,Stroud Farm Road,en,Holyport Road,en,,,N-bound,en,NE,E0043277,Holyport,,,,,,,0,U,489670,178008,-0.709739544,51.49391658,BCT,MKD,OTH,,,,65,2004-04-21T00:00:00,2015-01-22T14:06:33,2,rev,act
36006290290,windjta,,,Stroud Farm Shops,en,,,Stroud Farm Road,en,Stompits Road,en,,,o/s,en,E,E0043277,Holyport,,,,,,,0,U,489724,177937,-0.70897994,51.49326979,BCT,MKD,TIP,,,,65,2004-04-21T00:00:00,2007-03-07T00:00:00,3,rev,act
36006291291,windjtd,,,Hendons Way,en,,,Hendons Way,en,Stompits Road,en,,,nr,en,NE,E0043277,Holyport,,,,,,,0,U,489991,178018,-0.705114417,51.49395553,BCT,MKD,OTH,,,,65,2004-04-21T00:00:00,2007-03-07T00:00:00,3,rev,act
36006389390,windpap,,,Bells of Ouzeley,en,,,Ouseley Road,en,Straight Road,en,,,opp,en,SE,E0055224,Old Windsor,,,,,,,0,U,499192,173552,-0.573872782,51.45227441,BCT,MKD,TIP,,,,65,2004-05-07T00:00:00,2007-03-07T00:00:00,1,rev,act
36006391391,windpat,,,Ouseley Road,en,,,Ouseley Road,en,Burfield Road,en,,,adj,en,SE,E0055224,Old Windsor,,,,,,,0,U,499110,173498,-0.5750676,51.45180336,BCT,MKD,OTH,,Service 43 only,en,65,2004-05-07T00:00:00,2007-03-07T00:00:00,2,rev,act
36006300300,windjtp,,,Vansittart Road,en,,,Vansittart Road,en,Clarence Road,en,Vansittart Road,en,W-bound,en,W,N0076684,Windsor,,,,,,,0,U,495915,176598,-0.620193119,51.48021857,BCT,MKD,OTH,,,,65,2004-04-30T00:00:00,2008-06-07T00:00:00,2,rev,act
36006001398,winapga,,,Sunningdale Railway Station,en,,,road to car park,en,station forecourt,en,,,o/s,en,S,E0057286,Sunningdale,,,,,,,0,U,495191,166752,-0.633259387,51.39183506,BCT,MKD,TIP,,,,65,2004-06-03T00:00:00,2008-12-14T00:00:00,2,rev,act
36006292292,windjtg,,,Bucklebury Close,en,,,Bucklebury Close,en,Stompits Road,en,,,nr,en,SW,E0043277,Holyport,,,,,,,0,U,490045,177940,-0.704356662,51.49324579,BCT,MKD,OTH,,,,65,2004-04-21T00:00:00,2007-03-07T00:00:00,1,rev,act
36006293293,windjtj,,,Reeve Road,en,,,Trenchard Road,en,Stroud Farm Road,en,,,nr,en,NW,E0043277,Holyport,,,,,,,0,U,489851,177758,-0.707196604,51.49164058,BCT,MKD,OTH,,,,65,2004-04-21T00:00:00,2007-03-07T00:00:00,1,rev,act
36006305305,wingdaw,,,Kentons Lane,en,Kentons Lane,en,Adj 157,en,Dedworth Road,en,,,adj,en,W,E0043262,Dedworth,Windsor,,,,,,0,U,494776,176380,-0.636648386,51.47845074,BCT,MKD,OTH,,Not in Use,en,65,2004-06-03T00:00:00,2012-02-27T13:03:52,5,rev,act
36006306306,wingdga,,,All Saints Church,en,,,Adj No 220,en,Dedworth Road,en,,,opp,en,E,E0043262,Dedworth,Windsor,,,,,,0,U,494301,176286,-0.643511226,51.47768506,BCT,MKD,OTH,,Not in Use,en,65,2004-06-03T00:00:00,2008-03-24T00:00:00,5,rev,act
36006307307,windjwj,,,Holly Crescent,en,,,Holly Crescent,en,Ruddlesway,en,,,opp,en,N,E0043262,Dedworth,Windsor,,,,,,0,U,493576,176447,-0.6539051,51.47925254,BCT,MKD,OTH,,,,65,2004-04-30T00:00:00,2007-03-07T00:00:00,1,rev,act
36006260260,windjdg,,,Guards Road,en,,,Guards Road,en,Dedworth Road,en,,,opp,en,E,E0043262,Dedworth,Windsor,,,,,,0,U,493343,176413,-0.657268262,51.47898536,BCT,MKD,OTH,,,,65,2004-04-21T00:00:00,2004-04-21T00:00:00,4,rev,act
